Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
24,0.5969631724497851,0.9993623495101929,303.59428643882643,120.46887191791507,0.9998287558555603,310.86573911516854,106.14580894975029,0.9993531703948975,286.84542271379524,110.16778343476904,0.9418787956237793,326.0979195926966,113.60657576466915,0.9652440547943115,267.6176507880774,126.58971207865164,0.937980055809021,356.7622503121098,186.698121488764,0.9560823440551758,245.42300639825217,194.13665047596754,0.8572602272033691,428.17757100499375,288.00722729400746,0.6744177341461182,181.1821161048689,298.1773271691635,0.6991182565689087,412.7658785892634,234.10148934925093,0.5436174273490906,185.5421933520599,235.518151139201,0.19040542840957642,339.45458801498125,359.6985213795256,0.2651479244232178,268.70391502808985,364.51813163233453,0.037303656339645386,432.27089185393254,287.87887211298374,0.05532127618789673,183.8203222534332,295.91336025280896,0.011821329593658447,352.0201554697253,382.6262581928838,0.01423114538192749,258.7469276685393,358.6399325062422
25,0.6090034088667702,0.9995008707046509,304.1351630774032,122.30220037453182,0.9997599124908447,311.315543071161,107.6366212156679,0.9996076226234436,287.7360574672284,111.01545431491883,0.948733925819397,325.21835498595505,115.95981097846442,0.9479386806488037,267.73308267009986,127.37515605493132,0.9799675345420837,358.13736247659176,188.84097514825214,0.9672231078147888,247.38844510767788,195.79761138420724,0.9148166179656982,428.2347748907615,291.2929638732834,0.7676705121994019,182.4349689840824,299.7324633270911,0.7900675535202026,409.3315484550562,238.14204412453182,0.5494176149368286,186.11343974328963,237.85641483302118,0.16895002126693726,339.5963053995006,362.7644155742821,0.21068811416625977,271.0078710205992,358.73239505305867,0.04739576578140259,428.5021164950062,290.67888771847686,0.03584158420562744,185.6572960557116,302.75778323970036,0.013480305671691895,411.9504428058676,235.53175717852685,0.011998206377029419,188.2323243406679,264.7604556803995
26,0.6075351641458624,0.9997451305389404,303.7391005383895,123.30224426498125,0.9997437000274658,311.79904513888886,108.63659195536829,0.9997220635414124,288.1832767634207,111.37264942259674,0.9587546586990356,325.99068059456926,116.16470622659176,0.9716732501983643,267.6659302824594,128.11970876248438,0.9820339679718018,358.8808179229088,191.24639122971286,0.9646669626235962,247.73517965823967,197.14760845817727,0.9069399237632751,427.6549820536829,294.4199145599251,0.7141163349151611,181.84254545099873,303.06179775280896,0.6441335082054138,411.5818117977528,240.84172128589262,0.6346948146820068,186.840545997191,243.16389181491883,0.17420586943626404,341.065050522784,363.06233419163544,0.21617472171783447,270.6435315230961,358.49611813358297,0.03543338179588318,429.2071434144819,294.0482112203495,0.09731033444404602,183.93229166666666,303.1907869069912,0.015968650579452515,413.0509226747815,245.04420743601747,0.012780517339706421,258.50084854868913,358.575413545568
27,0.6095981177161721,0.999789834022522,304.57201935081144,124.57058071941321,0.9997141361236572,312.0067932662297,109.45614856429461,0.9998383522033691,288.82280937890135,112.20783590823967,0.9656798243522644,325.78490753745314,117.17652738764042,0.972299337387085,268.1217082162921,129.1948540886392,0.9770766496658325,358.70701174313353,192.53552688046193,0.9694335460662842,248.4920704588015,198.11673396535576,0.8778786659240723,428.4044358614232,296.0653675093633,0.688226580619812,183.04407088795256,303.4939236111111,0.8051745295524597,410.2304248595505,240.4028411750936,0.5231872200965881,189.7506900553995,242.36971851591755,0.12139803171157837,340.3717033395755,364.7993231117353,0.13982075452804565,269.94472241729085,364.93689528714106,0.06682777404785156,185.54230307818352,303.5258661048689,0.2217825949192047,184.1405396574594,303.0188338795256,0.016939997673034668,409.3696356117353,235.32520384675405,0.01810017228126526,190.35162345895753,296.8616865636704
28,0.6064512431621552,0.9998297691345215,304.99170958177274,124.6362944756554,0.9996956586837769,312.40273388732834,109.91868075062422,0.9998801946640015,289.432520872347,112.94241573033707,0.9650224447250366,326.0682691557428,118.2097085674157,0.969249963760376,268.88976669787763,128.24362613139823,0.9544607400894165,357.31602586610484,192.1831841058052,0.9564347267150879,247.5451583957553,198.65380676498125,0.8655788898468018,429.2386470037453,293.51708801498125,0.6873478293418884,183.37779679697252,303.33450374531833,0.806580126285553,410.6942006086142,232.99991221910108,0.5290085077285767,195.06248293149187,236.72084698813978,0.171279639005661,340.1221373673533,362.6166510611735,0.18191716074943542,270.38165184144816,359.17563982521847,0.05412179231643677,183.3436353971598,306.9653167915106,0.13290619850158691,184.87154728464418,303.2258504993758,0.02228456735610962,407.1727723158552,232.34543246722842,0.014072924852371216,189.82370669475654,297.15043695380774
29,0.6197446444455315,0.9998501539230347,305.3994518570537,125.28848217072408,0.9996399879455566,313.15447975187266,110.07934417915104,0.9999014139175415,289.9079519740949,113.20517322097376,0.9469027519226074,326.4477020911361,119.25993387172281,0.9722945690155029,270.04830387796505,128.27644643414482,0.9138115048408508,356.0609053136704,192.80418519818977,0.9631962776184082,247.60499570848938,198.39609667602997,0.8023595213890076,431.187968164794,291.827890917603,0.7509685158729553,181.9416525241885,302.0423689138577,0.8702694177627563,408.9715004681648,228.552419826779,0.5679808259010315,189.92808062187888,234.34808052434454,0.20199191570281982,340.0865129525593,361.93274032459425,0.2168441116809845,270.96137152777777,356.0813631398252,0.06130725145339966,427.45045255930086,290.9637367353308,0.23916947841644287,184.0558554736267,303.0111774344569,0.013258874416351318,258.3379662141073,357.75953885767785,0.015912383794784546,258.2319951622971,358.2380910580524
30,0.6060643739560071,0.9998624324798584,305.4703349328964,125.34402797284645,0.9996145963668823,313.7972553838951,110.52351552746566,0.9999011158943176,290.0719559534956,113.43345232521847,0.948045015335083,327.05604810393254,119.16439899344567,0.9790517091751099,270.0606907381398,127.96241026841449,0.9225625991821289,357.7982843710986,191.8040193898252,0.9410900473594666,247.5527416900749,198.91227274500625,0.6760579347610474,436.5945887952559,286.33485486891385,0.7841414213180542,182.08545470505618,299.85360096754056,0.8999301195144653,407.45508544007487,218.60179658239696,0.5580956339836121,194.1338341721286,227.64737437578026,0.1365126371383667,338.1305350733458,361.60239154182267,0.24961745738983154,271.97411926498125,355.31474328963793,0.09907346963882446,434.2265039794007,284.44585869225966,0.08622691035270691,184.94581967852682,303.17727840199746,0.01260414719581604,350.9840482599875,382.8934534956304,0.010707110166549683,258.65863471441946,358.4659312578027
31,0.6072979516842786,0.9998782873153687,305.8673240480649,125.32764220505618,0.9996316432952881,313.88988861579276,110.58601065074905,0.9999125003814697,290.58793695380774,113.46402933832707,0.9563605785369873,327.5875858302122,119.4717540574282,0.9830490350723267,270.90962956460675,127.18174547440697,0.9387673735618591,358.8134216994382,191.20330543851435,0.9644906520843506,248.5445926966292,198.02978210830213,0.600028395652771,439.2050951935081,282.27723158551805,0.7890506982803345,174.0589765722534,298.0644799469413,0.899452805519104,408.1969803370786,206.18265254369538,0.6256426572799683,198.65847622112983,219.82104888420724,0.101300448179245,338.664998829588,360.7684242353308,0.3227083086967468,271.040959542759,356.32358965355803,0.09396737813949585,439.24908317727835,280.8227020911361,0.02674424648284912,440.4562656054931,281.72903987203495,0.014716535806655884,407.5513518258427,205.922577247191,0.00836363434791565,259.441640332397,358.8271008895131
32,0.6130038622547599,0.9998815059661865,305.69207923689135,124.97871313202245,0.999636173248291,313.78937948657926,110.28453203027465,0.9999144077301025,290.4920119382022,112.96894506866414,0.9550581574440002,327.6180653089887,117.98840316791507,0.9842231869697571,269.9376511782147,127.42748322409489,0.9496876001358032,363.1154904026217,190.50864154182273,0.9663580656051636,247.51214302434457,197.00096558988764,0.6062555313110352,443.5574672284644,275.2028226435705,0.8028421401977539,169.63628228386392,288.14070302746563,0.8728017210960388,406.9754847456304,192.43545665574283,0.7487025260925293,195.79889152231584,210.82718867041194,0.09754014015197754,336.66459406210987,365.2070653870162,0.3265466094017029,270.4092540574282,356.09662726279646,0.030345261096954346,444.33052434456926,274.3510065543071,0.05980619788169861,172.23076866807116,292.71525827091136,0.01419028639793396,407.743616377965,191.80482404806492,0.0072761476039886475,267.0344686329588,381.7902426654182
33,0.6085989317473244,0.9998621940612793,305.5118845583645,124.42649812734084,0.9996651411056519,313.6828963795256,110.27858243601747,0.9999178647994995,290.6414833021223,112.6061661204744,0.9633595943450928,327.85678058676655,117.77482736423218,0.9843385219573975,270.25278460518103,126.93403265449439,0.9583879709243774,364.5873566245318,191.87626794631706,0.957196056842804,246.90023700842696,196.84117997034957,0.7102267146110535,450.8227996254681,266.43892400124844,0.6237080097198486,165.69410307428214,281.588980571161,0.8115000128746033,407.06446044007487,183.46654084737827,0.7912185192108154,195.07633280664794,196.11942591292132,0.10778385400772095,336.1809456928839,363.6449067571785,0.3227282762527466,270.22864485799,355.1515683520599,0.0474109947681427,449.55304892322096,265.55119089419475,0.020041435956954956,307.22902524188515,375.6226104088639,0.031441569328308105,409.026899968789,179.33349914169787,0.017395108938217163,406.26143590043694,179.67930711610484
